Date,Month,Channel,Campaign,Device,Visitors,Leads,Qualified_Leads,Proposals,Customers,Avg_Deal_Value,Revenue,Ad_Spend,ROI_%
2024-12-10,2024-12,Social Media,Retargeting,Desktop,482,79,31,10,2,596,1192,2516.15,-52.6
2024-07-22,2024-07,Referral,Retargeting,Desktop,446,227,161,117,64,1928,123392,2746.7,4392.4
2024-10-04,2024-10,Organic Search,Summer Sale,Mobile,258,75,43,19,7,1342,9394,1648.5,469.9
2024-01-05,2024-01,Social Media,Summer Sale,Desktop,87,17,5,1,0,1150,0,646.17,-100.0
2024-12-19,2024-12,Paid Ads,Retargeting,Mobile,325,80,36,16,5,1176,5880,674.4,771.9
2024-04-08,2024-04,Organic Search,Product Launch,Mobile,222,68,37,19,8,1936,15488,2303.16,572.5
2024-05-24,2024-05,Email Campaign,Product Launch,Desktop,164,74,46,21,10,347,3470,410.7,744.9
2024-12-06,2024-12,Email Campaign,Retargeting,Desktop,321,152,81,48,28,1621,45388,2856.08,1489.2
2024-02-01,2024-02,Organic Search,Brand Awareness,Desktop,280,80,44,24,11,1539,16929,1145.6,1377.7
2024-08-17,2024-08,Email Campaign,Retargeting,Mobile,172,76,42,19,10,1521,15210,2273.92,568.9
2024-04-05,2024-04,Organic Search,Product Launch,Mobile,278,77,41,17,6,608,3648,1274.35,186.3
2024-01-10,2024-01,Organic Search,Retargeting,Mobile,457,161,91,42,21,222,4662,2642.01,76.5
2024-02-01,2024-02,Organic Search,Brand Awareness,Mobile,371,109,66,34,16,686,10976,1873.71,485.8
2024-02-26,2024-02,Organic Search,Newsletter,Mobile,107,33,19,9,4,1805,7220,262.02,2655.5
2024-02-06,2024-02,Organic Search,Summer Sale,Desktop,351,128,72,34,17,768,13056,1711.36,662.9
2024-07-05,2024-07,Paid Ads,Brand Awareness,Mobile,395,108,45,19,8,1064,8512,1546.56,450.4
2024-04-15,2024-04,Organic Search,Product Launch,Mobile,318,106,64,33,15,1555,23325,1322.88,1663.2
2024-05-01,2024-05,Organic Search,Product Launch,Desktop,336,110,58,29,12,267,3204,4011.7,-20.1
2024-02-07,2024-02,Organic Search,Product Launch,Desktop,121,34,20,9,3,502,1506,927.86,62.3
2024-04-18,2024-04,Organic Search,Newsletter,Desktop,394,113,55,23,11,671,7381,4470.28,65.1
2024-06-15,2024-06,Social Media,Product Launch,Desktop,137,24,7,2,0,324,0,516.96,-100.0
2024-01-19,2024-01,Organic Search,Brand Awareness,Mobile,166,55,26,11,5,1639,8195,1023.55,700.6
2024-03-11,2024-03,Organic Search,Product Launch,Mobile,274,87,50,25,12,442,5304,1964.46,170.0
2024-05-18,2024-05,Organic Search,Newsletter,Mobile,449,129,71,37,15,802,12030,1533.81,684.3
2024-11-02,2024-11,Paid Ads,Summer Sale,Tablet,455,133,47,18,5,1332,6660,4834.55,37.8
2024-03-14,2024-03,Organic Search,Brand Awareness,Mobile,91,31,14,7,3,891,2673,885.67,201.8
2024-09-03,2024-09,Email Campaign,Retargeting,Mobile,193,82,45,23,10,1672,16720,3166.02,428.1
2024-05-06,2024-05,Organic Search,Summer Sale,Mobile,292,100,63,27,10,640,6400,2388.0,168.0
2024-01-31,2024-01,Paid Ads,Summer Sale,Mobile,202,58,24,10,3,936,2808,614.22,357.2
2024-03-28,2024-03,Email Campaign,Brand Awareness,Desktop,418,177,113,66,37,896,33152,6283.5,427.6
2024-04-04,2024-04,Organic Search,Summer Sale,Mobile,283,83,49,25,12,252,3024,649.89,365.3
2024-08-26,2024-08,Email Campaign,Newsletter,Desktop,293,112,60,37,18,486,8748,3177.44,175.3
2024-11-20,2024-11,Organic Search,Newsletter,Mobile,353,112,68,36,17,1284,21828,3606.4,505.3
2024-11-01,2024-11,Paid Ads,Newsletter,Mobile,409,129,55,24,9,615,5535,2119.47,161.2
2024-09-30,2024-09,Organic Search,Brand Awareness,Tablet,138,47,26,11,4,383,1532,915.56,67.3
2024-06-14,2024-06,Social Media,Brand Awareness,Desktop,349,62,24,8,2,780,1560,726.64,114.7
2024-06-01,2024-06,Social Media,Brand Awareness,Desktop,230,37,14,5,1,843,843,1173.27,-28.1
2024-10-09,2024-10,Social Media,Newsletter,Mobile,366,73,28,9,2,683,1366,2425.06,-43.7
2024-11-04,2024-11,Paid Ads,Summer Sale,Mobile,145,45,17,6,2,1803,3606,785.7,359.0
2024-09-30,2024-09,Referral,Summer Sale,Desktop,433,234,182,103,63,1688,106344,4431.96,2299.5
2024-06-13,2024-06,Paid Ads,Retargeting,Desktop,174,53,19,8,2,1084,2168,604.73,258.5
2024-05-31,2024-05,Organic Search,Product Launch,Desktop,226,75,38,17,7,624,4368,678.0,544.2
2024-10-31,2024-10,Social Media,Summer Sale,Desktop,466,86,31,13,4,1412,5648,2986.78,89.1
2024-10-17,2024-10,Email Campaign,Brand Awareness,Tablet,257,112,70,34,15,1369,20535,3474.24,491.1
2024-04-07,2024-04,Social Media,Product Launch,Desktop,220,41,15,6,1,895,895,1273.87,-29.7
2024-11-10,2024-11,Social Media,Product Launch,Desktop,83,15,5,1,0,1583,0,456.15,-100.0
2024-06-21,2024-06,Referral,Product Launch,Desktop,219,112,71,40,26,746,19396,1354.08,1332.4
2024-07-22,2024-07,Organic Search,Summer Sale,Desktop,269,76,46,20,7,1770,12390,1041.2,1090.0
2024-02-17,2024-02,Paid Ads,Summer Sale,Desktop,173,55,22,9,3,221,663,884.4,-25.0
2024-06-03,2024-06,Paid Ads,Summer Sale,Desktop,463,120,49,17,5,1054,5270,3716.4,41.8
2024-07-24,2024-07,Email Campaign,Summer Sale,Mobile,427,192,118,60,34,553,18802,5877.12,219.9
2024-06-12,2024-06,Organic Search,Brand Awareness,Mobile,490,143,75,42,19,1725,32775,2273.7,1341.5
2024-12-08,2024-12,Organic Search,Brand Awareness,Desktop,382,105,49,26,10,732,7320,630.0,1061.9
2024-06-02,2024-06,Paid Ads,Newsletter,Desktop,462,132,49,23,8,229,1832,3946.8,-53.6
2024-11-29,2024-11,Paid Ads,Product Launch,Desktop,244,66,30,11,4,1343,5372,2247.3,139.0
2024-07-26,2024-07,Organic Search,Retargeting,Desktop,233,68,41,20,9,1399,12591,1802.68,598.5
2024-09-27,2024-09,Organic Search,Retargeting,Desktop,223,62,35,19,7,1159,8113,1365.24,494.3
2024-03-21,2024-03,Organic Search,Summer Sale,Mobile,416,138,72,34,16,1062,16992,4200.72,304.5
2024-06-01,2024-06,Organic Search,Retargeting,Desktop,299,95,51,23,9,438,3942,3227.15,22.2
2024-10-24,2024-10,Paid Ads,Retargeting,Desktop,332,86,32,15,6,1631,9786,1092.2,796.0
2024-01-03,2024-01,Social Media,Newsletter,Desktop,87,16,5,1,0,1905,0,442.72,-100.0
2024-01-05,2024-01,Referral,Product Launch,Mobile,104,59,41,27,16,1770,28320,366.39,7629.5
2024-12-14,2024-12,Email Campaign,Summer Sale,Desktop,483,178,113,68,34,1871,63614,1986.48,3102.3
2024-08-09,2024-08,Referral,Brand Awareness,Desktop,156,73,51,32,21,1617,33957,2296.58,1378.6
2024-03-20,2024-03,Social Media,Brand Awareness,Desktop,105,18,5,1,0,1575,0,565.38,-100.0
2024-05-15,2024-05,Referral,Summer Sale,Desktop,430,189,134,94,50,926,46300,5741.82,706.4
2024-09-11,2024-09,Organic Search,Summer Sale,Mobile,428,155,74,36,18,452,8136,1616.65,403.3
2024-04-12,2024-04,Email Campaign,Brand Awareness,Mobile,238,109,73,40,23,1800,41400,1230.61,3264.2
2024-07-24,2024-07,Social Media,Retargeting,Tablet,298,50,15,5,1,224,224,1199.5,-81.3
2024-05-16,2024-05,Social Media,Retargeting,Mobile,286,45,17,6,1,1243,1243,1742.4,-28.7
2024-02-02,2024-02,Paid Ads,Brand Awareness,Desktop,176,44,19,7,2,638,1276,1729.64,-26.2
2024-05-20,2024-05,Social Media,Product Launch,Desktop,150,25,7,2,0,1348,0,710.0,-100.0
2024-02-23,2024-02,Social Media,Retargeting,Mobile,216,33,12,4,1,694,694,807.18,-14.0
2024-06-19,2024-06,Email Campaign,Product Launch,Desktop,282,124,68,41,22,1128,24816,1600.84,1450.2
2024-10-27,2024-10,Paid Ads,Retargeting,Mobile,178,53,24,9,3,1535,4605,1626.57,183.1
2024-08-18,2024-08,Social Media,Summer Sale,Mobile,260,43,13,5,1,769,769,533.2,44.2
2024-03-31,2024-03,Organic Search,Summer Sale,Mobile,453,140,82,42,20,663,13260,4106.2,222.9
2024-02-02,2024-02,Paid Ads,Newsletter,Mobile,336,92,39,14,5,1180,5900,482.08,1123.9
2024-07-01,2024-07,Social Media,Brand Awareness,Mobile,356,55,20,8,2,1926,3852,1259.5,205.8
2024-12-23,2024-12,Email Campaign,Product Launch,Desktop,154,60,39,23,10,616,6160,1487.4,314.1
2024-05-16,2024-05,Email Campaign,Newsletter,Desktop,458,209,129,77,35,603,21105,3532.1,497.5
2024-10-25,2024-10,Paid Ads,Newsletter,Desktop,202,63,26,12,4,969,3876,454.86,752.1
2024-11-14,2024-11,Email Campaign,Brand Awareness,Desktop,199,95,62,31,16,1714,27424,681.15,3926.1
2024-12-16,2024-12,Organic Search,Newsletter,Desktop,238,81,46,25,9,1910,17190,659.34,2507.2
2024-11-28,2024-11,Social Media,Brand Awareness,Mobile,385,63,22,7,2,1015,2030,1664.46,22.0
2024-01-25,2024-01,Organic Search,Summer Sale,Desktop,136,49,25,12,5,361,1805,1622.88,11.2
2024-03-09,2024-03,Email Campaign,Retargeting,Mobile,372,136,79,47,26,652,16952,1691.84,902.0
2024-06-05,2024-06,Email Campaign,Newsletter,Desktop,348,144,85,41,23,677,15571,3735.36,316.9
2024-03-25,2024-03,Organic Search,Brand Awareness,Mobile,180,50,29,14,5,803,4015,938.5,327.8
2024-10-08,2024-10,Social Media,Newsletter,Tablet,451,79,25,10,2,374,748,786.05,-4.8
2024-07-11,2024-07,Social Media,Retargeting,Mobile,390,79,24,9,2,479,958,1873.09,-48.9
2024-11-24,2024-11,Organic Search,Summer Sale,Desktop,92,26,14,6,2,691,1382,570.18,142.4
2024-07-23,2024-07,Email Campaign,Newsletter,Desktop,203,92,54,27,14,788,11032,3222.76,242.3
2024-10-15,2024-10,Email Campaign,Summer Sale,Mobile,369,150,98,59,35,1747,61145,4396.5,1290.8
2024-09-25,2024-09,Email Campaign,Brand Awareness,Tablet,374,161,83,41,18,1728,31104,951.51,3168.9
2024-06-11,2024-06,Social Media,Brand Awareness,Desktop,91,16,5,1,0,968,0,198.4,-100.0
2024-12-24,2024-12,Social Media,Product Launch,Desktop,188,32,9,3,1,488,488,906.24,-46.2
2024-09-13,2024-09,Social Media,Product Launch,Desktop,249,38,14,4,1,1520,1520,904.78,68.0
2024-04-26,2024-04,Organic Search,Brand Awareness,Mobile,138,43,22,9,3,1860,5580,1703.66,227.5
2024-12-12,2024-12,Organic Search,Brand Awareness,Mobile,320,107,53,26,13,1431,18603,1664.92,1017.4
2024-08-16,2024-08,Email Campaign,Newsletter,Tablet,474,170,94,58,28,801,22428,1351.5,1559.5
2024-02-22,2024-02,Social Media,Brand Awareness,Tablet,365,71,22,8,2,1886,3772,505.52,646.2
2024-09-03,2024-09,Organic Search,Retargeting,Desktop,380,119,59,29,11,1476,16236,4059.09,300.0
2024-07-16,2024-07,Paid Ads,Product Launch,Tablet,447,143,51,23,9,498,4482,3799.51,18.0
2024-09-26,2024-09,Email Campaign,Brand Awareness,Tablet,174,77,47,26,14,1504,21056,1304.38,1514.3
2024-09-01,2024-09,Email Campaign,Summer Sale,Desktop,231,107,62,29,13,297,3861,1700.23,127.1
2024-12-16,2024-12,Paid Ads,Newsletter,Mobile,204,49,19,6,1,792,792,846.23,-6.4
2024-01-28,2024-01,Organic Search,Brand Awareness,Desktop,136,48,23,10,4,822,3288,715.68,359.4
2024-08-29,2024-08,Paid Ads,Summer Sale,Mobile,386,92,35,12,4,862,3448,3439.88,0.2
2024-02-03,2024-02,Social Media,Retargeting,Desktop,405,77,25,8,2,1632,3264,564.41,478.3
2024-05-09,2024-05,Organic Search,Retargeting,Tablet,149,48,29,14,5,1308,6540,1710.72,282.3
2024-08-17,2024-08,Social Media,Newsletter,Tablet,360,68,23,9,2,464,928,544.0,70.6
2024-03-05,2024-03,Email Campaign,Retargeting,Tablet,142,67,41,22,10,1039,10390,507.86,1945.8
2024-05-03,2024-05,Organic Search,Newsletter,Desktop,341,115,68,34,16,677,10832,1997.55,442.3
2024-04-06,2024-04,Organic Search,Product Launch,Mobile,181,49,23,10,4,639,2556,502.25,408.9
2024-08-30,2024-08,Paid Ads,Summer Sale,Mobile,244,58,26,12,4,1878,7512,1404.76,434.8
2024-05-27,2024-05,Organic Search,Retargeting,Desktop,111,39,24,11,5,954,4770,1037.4,359.8
2024-04-15,2024-04,Paid Ads,Retargeting,Mobile,186,54,18,7,2,1192,2384,1300.32,83.3
2024-01-28,2024-01,Email Campaign,Retargeting,Desktop,201,74,48,22,10,1757,17570,2271.8,673.4
2024-05-05,2024-05,Social Media,Brand Awareness,Mobile,393,60,23,8,2,1762,3524,382.2,822.0
2024-12-16,2024-12,Organic Search,Product Launch,Desktop,248,85,52,28,10,1898,18980,3131.4,506.1
2024-07-09,2024-07,Organic Search,Brand Awareness,Mobile,327,107,63,35,15,1047,15705,3106.21,405.6
2024-12-15,2024-12,Paid Ads,Brand Awareness,Mobile,498,123,50,18,6,1450,8700,2669.1,226.0
2024-12-08,2024-12,Social Media,Product Launch,Desktop,472,94,29,12,3,272,816,3102.0,-73.7
2024-05-12,2024-05,Paid Ads,Summer Sale,Mobile,269,65,29,10,3,564,1692,2373.15,-28.7
2024-05-21,2024-05,Paid Ads,Newsletter,Desktop,433,103,36,16,5,733,3665,2539.98,44.3
2024-07-31,2024-07,Social Media,Retargeting,Mobile,330,63,20,7,1,1591,1591,2039.31,-22.0
2024-09-19,2024-09,Email Campaign,Product Launch,Desktop,115,53,30,14,8,1472,11776,373.12,3056.1
2024-07-03,2024-07,Paid Ads,Brand Awareness,Mobile,474,146,52,19,6,292,1752,3382.82,-48.2
2024-03-31,2024-03,Email Campaign,Brand Awareness,Desktop,325,145,81,40,22,1349,29678,3116.05,852.4
2024-02-05,2024-02,Paid Ads,Brand Awareness,Tablet,327,81,28,12,4,838,3352,945.27,254.6
2024-08-21,2024-08,Email Campaign,Summer Sale,Mobile,454,199,107,57,29,299,8671,5693.39,52.3
2024-02-23,2024-02,Organic Search,Summer Sale,Mobile,377,105,50,22,11,282,3102,2691.15,15.3
2024-11-06,2024-11,Paid Ads,Summer Sale,Mobile,423,104,36,14,5,1522,7610,1731.6,339.5
2024-01-08,2024-01,Organic Search,Summer Sale,Mobile,276,98,50,27,12,493,5916,1701.28,247.7
2024-12-19,2024-12,Email Campaign,Retargeting,Desktop,486,204,135,80,36,526,18936,7819.32,142.2
2024-05-30,2024-05,Paid Ads,Summer Sale,Mobile,412,113,45,19,7,775,5425,680.26,697.5
2024-05-16,2024-05,Paid Ads,Product Launch,Desktop,374,101,45,17,5,1696,8480,1780.63,376.2
2024-06-24,2024-06,Email Campaign,Brand Awareness,Mobile,224,82,48,26,13,872,11336,1601.46,607.9
2024-11-26,2024-11,Organic Search,Product Launch,Desktop,299,102,49,26,12,1364,16368,1674.84,877.3
2024-05-08,2024-05,Referral,Retargeting,Tablet,265,130,88,56,32,1873,59936,4500.6,1231.7
2024-12-17,2024-12,Email Campaign,Summer Sale,Mobile,412,176,102,56,27,1611,43497,1811.04,2301.8
2024-06-30,2024-06,Paid Ads,Summer Sale,Mobile,261,76,32,14,4,1703,6812,1254.76,442.9
2024-12-30,2024-12,Organic Search,Product Launch,Desktop,440,131,81,38,16,1015,16240,3998.12,306.2
2024-10-11,2024-10,Organic Search,Product Launch,Desktop,330,92,47,20,10,1758,17580,2098.52,737.7
2024-06-01,2024-06,Organic Search,Product Launch,Desktop,107,37,19,9,4,1795,7180,1441.15,398.2
2024-04-01,2024-04,Social Media,Product Launch,Desktop,303,54,16,5,1,1847,1847,280.26,559.0
2024-03-31,2024-03,Paid Ads,Summer Sale,Mobile,324,87,36,13,4,1862,7448,2375.1,213.6
2024-04-10,2024-04,Paid Ads,Retargeting,Mobile,89,26,9,3,1,1598,1598,717.34,122.8
2024-02-22,2024-02,Organic Search,Summer Sale,Mobile,438,120,75,38,18,1502,27036,3111.6,768.9
2024-09-27,2024-09,Email Campaign,Newsletter,Desktop,294,111,72,40,20,214,4280,1268.73,237.3
2024-12-20,2024-12,Social Media,Summer Sale,Desktop,162,32,11,4,1,1598,1598,1193.28,33.9
2024-01-17,2024-01,Organic Search,Newsletter,Mobile,310,108,61,33,13,551,7163,919.08,679.4
2024-09-09,2024-09,Paid Ads,Product Launch,Mobile,122,37,13,5,2,1822,3644,698.93,421.4
2024-11-17,2024-11,Organic Search,Newsletter,Desktop,406,119,70,37,17,1323,22491,1253.07,1694.9
2024-07-08,2024-07,Organic Search,Newsletter,Mobile,351,97,58,32,13,1744,22672,3487.15,550.2
2024-12-25,2024-12,Paid Ads,Retargeting,Tablet,360,91,41,17,7,1640,11480,2523.43,354.9
2024-02-22,2024-02,Referral,Summer Sale,Mobile,159,88,63,36,24,1439,34536,2058.32,1577.9
2024-10-20,2024-10,Social Media,Brand Awareness,Desktop,423,67,24,8,2,1126,2252,867.65,159.6
2024-05-03,2024-05,Paid Ads,Product Launch,Mobile,205,56,19,6,2,1932,3864,715.12,440.3
2024-03-16,2024-03,Social Media,Newsletter,Mobile,195,38,13,4,1,627,627,970.52,-35.4
2024-04-21,2024-04,Referral,Retargeting,Mobile,350,164,128,94,53,1693,89729,2443.6,3572.0
2024-06-24,2024-06,Paid Ads,Brand Awareness,Tablet,316,76,28,13,4,242,968,1077.68,-10.2
2024-06-04,2024-06,Email Campaign,Product Launch,Desktop,253,92,60,31,13,1488,19344,1785.72,983.3
2024-07-19,2024-07,Paid Ads,Newsletter,Mobile,381,110,40,19,7,1052,7364,3623.4,103.2
2024-12-28,2024-12,Organic Search,Retargeting,Desktop,99,31,14,6,2,589,1178,669.6,75.9
2024-07-17,2024-07,Email Campaign,Newsletter,Desktop,354,131,86,50,28,1576,44128,4317.76,922.0
2024-02-29,2024-02,Paid Ads,Newsletter,Desktop,151,39,16,7,2,430,860,1297.53,-33.7
2024-11-12,2024-11,Email Campaign,Summer Sale,Mobile,163,76,51,27,12,669,8028,898.32,793.7
2024-11-25,2024-11,Referral,Summer Sale,Desktop,139,67,43,29,15,1184,17760,1587.9,1018.5
2024-12-21,2024-12,Social Media,Newsletter,Tablet,388,66,26,9,2,357,714,506.88,40.9
2024-07-10,2024-07,Organic Search,Newsletter,Desktop,232,80,49,21,9,1064,9576,2344.8,308.4
2024-12-28,2024-12,Email Campaign,Retargeting,Tablet,298,106,69,41,19,285,5415,1772.32,205.5
2024-03-30,2024-03,Social Media,Retargeting,Tablet,420,81,29,11,3,441,1323,1436.94,-7.9
2024-08-15,2024-08,Email Campaign,Brand Awareness,Mobile,453,201,123,60,27,1917,51759,5079.27,919.0
2024-04-08,2024-04,Organic Search,Brand Awareness,Mobile,138,48,29,14,5,1004,5020,983.04,410.7
2024-08-30,2024-08,Social Media,Retargeting,Mobile,107,17,5,2,0,1628,0,195.84,-100.0
2024-03-14,2024-03,Organic Search,Product Launch,Mobile,437,139,81,44,18,884,15912,2871.74,454.1
2024-10-05,2024-10,Organic Search,Brand Awareness,Desktop,362,107,54,29,14,1910,26740,1342.85,1891.3
2024-10-03,2024-10,Paid Ads,Product Launch,Desktop,199,49,17,6,2,1794,3588,1867.39,92.1
2024-01-04,2024-01,Email Campaign,Retargeting,Tablet,170,75,41,24,13,435,5655,2792.25,102.5
2024-09-09,2024-09,Paid Ads,Newsletter,Desktop,304,74,30,11,3,638,1914,392.94,387.1
2024-12-13,2024-12,Paid Ads,Newsletter,Tablet,212,67,29,11,3,482,1446,2156.73,-33.0
2024-03-05,2024-03,Organic Search,Newsletter,Desktop,296,105,54,30,12,214,2568,2056.95,24.8
2024-01-16,2024-01,Paid Ads,Newsletter,Desktop,250,65,22,9,3,880,2640,1014.65,160.2
2024-08-22,2024-08,Social Media,Product Launch,Mobile,457,80,29,11,3,1323,3969,1630.4,143.4
2024-02-19,2024-02,Email Campaign,Newsletter,Desktop,479,221,135,75,40,241,9640,8011.25,20.3
2024-04-19,2024-04,Paid Ads,Brand Awareness,Tablet,232,67,27,10,3,1235,3705,1268.31,192.1
2024-05-30,2024-05,Social Media,Product Launch,Desktop,383,64,22,9,2,272,544,1390.08,-60.9
2024-04-27,2024-04,Social Media,Product Launch,Tablet,274,48,16,6,1,1998,1998,1534.08,30.2
2024-12-13,2024-12,Email Campaign,Retargeting,Desktop,336,136,91,56,27,623,16821,5174.8,225.1
2024-09-06,2024-09,Organic Search,Newsletter,Mobile,195,67,34,16,6,1572,9432,1906.15,394.8
2024-04-21,2024-04,Social Media,Retargeting,Mobile,484,82,27,11,3,654,1962,2511.66,-21.9
2024-02-05,2024-02,Organic Search,Product Launch,Mobile,488,166,83,38,19,443,8417,1402.7,500.1
2024-09-09,2024-09,Social Media,Summer Sale,Mobile,470,78,30,12,3,1245,3735,1287.0,190.2
2024-06-17,2024-06,Email Campaign,Product Launch,Mobile,422,190,114,59,29,666,19314,4693.0,311.5
2024-06-29,2024-06,Organic Search,Product Launch,Mobile,268,94,50,27,11,1565,17215,3408.44,405.1
2024-06-21,2024-06,Email Campaign,Summer Sale,Tablet,324,121,72,43,25,867,21675,1516.13,1329.6
2024-04-14,2024-04,Social Media,Retargeting,Desktop,167,33,12,5,1,276,276,250.8,10.0
2024-12-22,2024-12,Email Campaign,Product Launch,Tablet,288,116,76,36,16,1292,20672,1843.24,1021.5
2024-01-24,2024-01,Organic Search,Brand Awareness,Desktop,193,70,37,20,8,1576,12608,384.3,3180.8
2024-12-21,2024-12,Organic Search,Summer Sale,Mobile,166,51,30,16,8,372,2976,1034.28,187.7
2024-02-21,2024-02,Email Campaign,Summer Sale,Desktop,210,77,39,23,10,644,6440,684.53,840.8
2024-07-28,2024-07,Paid Ads,Newsletter,Mobile,113,34,15,5,1,356,356,526.32,-32.4
2024-07-05,2024-07,Referral,Retargeting,Mobile,201,102,65,46,24,1780,42720,2733.6,1462.8
2024-09-15,2024-09,Paid Ads,Summer Sale,Mobile,416,99,37,16,5,1452,7260,3536.28,105.3
2024-12-11,2024-12,Organic Search,Newsletter,Desktop,91,27,13,6,3,1998,5994,902.88,563.9
2024-11-08,2024-11,Email Campaign,Product Launch,Tablet,382,175,111,57,32,1756,56192,1260.0,4359.7
2024-02-28,2024-02,Social Media,Newsletter,Desktop,108,19,6,2,0,747,0,751.07,-100.0
2024-11-16,2024-11,Organic Search,Newsletter,Mobile,352,114,53,29,11,1469,16159,2926.38,452.2
2024-08-18,2024-08,Organic Search,Summer Sale,Desktop,335,95,57,25,11,756,8316,1427.85,482.4
2024-03-07,2024-03,Organic Search,Product Launch,Mobile,401,132,79,44,22,1712,37664,752.4,4905.8
2024-08-17,2024-08,Email Campaign,Brand Awareness,Desktop,224,87,47,28,14,380,5320,694.26,666.3
2024-07-19,2024-07,Organic Search,Product Launch,Desktop,391,143,89,49,21,612,12852,4924.92,161.0
2024-10-27,2024-10,Paid Ads,Retargeting,Desktop,495,136,53,23,9,897,8073,1958.4,312.2
2024-04-16,2024-04,Organic Search,Newsletter,Desktop,495,146,92,39,16,224,3584,3810.6,-5.9
2024-01-01,2024-01,Referral,Retargeting,Desktop,437,204,143,93,59,1154,68086,1423.92,4681.6
2024-11-14,2024-11,Organic Search,Summer Sale,Desktop,292,87,41,21,10,1594,15940,1438.98,1007.7
2024-11-15,2024-11,Paid Ads,Brand Awareness,Mobile,480,128,50,23,7,1467,10269,892.16,1051.0
2024-08-10,2024-08,Organic Search,Newsletter,Mobile,384,108,54,28,12,726,8712,2695.68,223.2
2024-06-06,2024-06,Organic Search,Brand Awareness,Desktop,496,176,96,53,22,1901,41822,4679.84,793.7
2024-02-20,2024-02,Organic Search,Summer Sale,Mobile,392,129,79,38,18,962,17316,1186.8,1359.0
2024-08-19,2024-08,Email Campaign,Retargeting,Tablet,274,116,75,47,21,388,8148,1994.04,308.6
2024-12-16,2024-12,Paid Ads,Newsletter,Desktop,498,121,54,24,7,944,6608,3915.56,68.8
2024-05-12,2024-05,Organic Search,Newsletter,Desktop,454,153,79,35,16,991,15856,5527.89,186.8
2024-03-27,2024-03,Organic Search,Summer Sale,Mobile,368,106,51,22,9,742,6678,2847.16,134.5
2024-08-20,2024-08,Paid Ads,Retargeting,Desktop,187,52,18,7,2,297,594,796.64,-25.4
2024-09-30,2024-09,Organic Search,Newsletter,Mobile,339,100,55,27,11,1776,19536,3988.0,389.9
2024-05-29,2024-05,Paid Ads,Brand Awareness,Mobile,120,36,15,5,1,1279,1279,689.04,85.6
2024-11-05,2024-11,Organic Search,Retargeting,Mobile,107,30,16,7,3,1790,5370,1130.1,375.2
2024-08-14,2024-08,Referral,Summer Sale,Mobile,345,180,135,97,59,1258,74222,3506.4,2016.8
2024-06-09,2024-06,Referral,Retargeting,Mobile,490,243,157,102,67,1837,123079,6587.73,1768.3
2024-01-13,2024-01,Organic Search,Product Launch,Desktop,206,66,40,17,7,1066,7462,2022.24,269.0
2024-04-02,2024-04,Paid Ads,Summer Sale,Desktop,480,151,64,24,10,1069,10690,5991.68,78.4
2024-01-10,2024-01,Paid Ads,Summer Sale,Desktop,406,118,53,23,8,1547,12376,2596.0,376.7
2024-02-02,2024-02,Paid Ads,Newsletter,Desktop,430,110,49,18,6,634,3804,1646.7,131.0
